Date,Result_W-L-Bye,Home_Away_Bye
9/26/10,Win,Home
10/3/10,Win,Away
10/10/10,Win,Home
10/17/10,Loss,Away
10/24/10,Win,Home
10/31/10,Bye,Bye
11/7/10,Win,Home
11/11/10,Loss,Away
11/14/10,Bye,Bye
11/21/10,Win,Away
11/28/10,Win,Home
12/5/10,Loss,Home
12/13/10,Win,Away
12/19/10,Win,Home
12/26/10,Win,Away
1/2/11,Win,Home
1/9/11,Win,Away
1/15/11,Loss,Away
9/11/11,Win,Home
9/18/11,Loss,Away
9/25/11,Win,Away
10/2/11,Win,Home
10/9/11,Bye,Bye
10/16/11,Win,Home
10/24/11,Loss,Away
10/30/11,Win,Home
11/6/11,Win,Away
11/13/11,Loss,Away
11/20/11,Win,Home
11/24/11,Win,Home
11/27/11,Bye,Bye
12/4/11,Win,Away
12/11/11,Win,Home
12/18/11,Loss,Away
12/24/11,Win,Home
1/1/12,Win,Away
1/8/12,Bye,Bye
1/15/12,Win,Home
1/22/12,Loss,Away
9/10/12,Win,Home
9/16/12,Loss,Away
9/23/12,Win,Home
9/27/12,Win,Home
9/30/12,Bye,Bye
10/7/12,Win,Away
10/14/12,Win,Home
10/21/12,Loss,Away
10/28/12,Bye,Bye
11/4/12,Win,Away
11/11/12,Win,Home
11/18/12,Win,Away
11/25/12,Win,Away
12/2/12,Loss,Home
12/9/12,Loss,Away
12/16/12,Loss,Home
12/23/12,Win,Home
12/30/12,Loss,Away
1/6/13,Win,Home
1/12/13,Win,Away
1/20/13,Win,Away
1/27/13,Bye,Bye
2/3/13,Win,Away
9/5/13,Loss,Away
9/15/13,Win,Home
9/22/13,Win,Home
9/29/13,Loss,Away
10/6/13,Win,Away
10/13/13,Loss,Home
10/20/13,Loss,Away
10/27/13,Bye,Bye
11/3/13,Loss,Away
11/10/13,Win,Home
11/17/13,Loss,Away
11/24/13,Win,Home
11/28/13,Win,Home
12/1/13,Bye,Bye
12/8/13,Win,Home
12/16/13,Win,Away
12/22/13,Loss,Away
12/29/13,Loss,Away
9/7/14,Loss,Home
9/11/14,Win,Home
9/14/14,Bye,Bye
9/21/14,Win,Away
9/28/14,Win,Home
10/5/14,Loss,Away
10/12/14,Win,Away
10/19/14,Win,Home
10/26/14,Loss,Away
11/2/14,Loss,Away
11/9/14,Win,Home
11/16/14,Bye,Bye
11/24/14,Win,Away
11/30/14,Loss,Home
12/7/14,Win,Away
12/14/14,Win,Home
12/21/14,Loss,Away
12/28/14,Win,Home
1/3/15,Win,Away
1/10/15,Loss,Away
9/13/15,Loss,Away
9/20/15,Loss,Away
9/27/15,Loss,Home
10/1/15,Win,Away
10/4/15,Bye,Bye
10/11/15,Loss,Home
10/18/15,Loss,Away
10/26/15,Loss,Away
11/1/15,Win,Home
11/8/15,Bye,Bye
11/15/15,Loss,Home
11/22/15,Win,Home
11/30/15,Win,Away
12/6/15,Loss,Away
12/13/15,Loss,Home
12/20/15,Loss,Home
12/27/15,Win,Home
1/3/16,Loss,Away
9/11/16,Win,Home
9/18/16,Win,Away
9/25/16,Win,Away
10/2/16,Loss,Home
10/9/16,Loss,Home
10/16/16,Loss,Away
10/23/16,Loss,Away
10/30/16,Bye,Bye
11/6/16,Win,Home
11/10/16,Win,Home
11/13/16,Bye,Bye
11/20/16,Loss,Away
11/27/16,Win,Home
12/4/16,Win,Home
12/12/16,Loss,Away
12/18/16,Win,Home
12/25/16,Loss,Away
1/1/17,Loss,Away
9/10/17,Win,Away
9/17/17,Win,Home
9/24/17,Loss,Away
10/1/17,Loss,Home
10/8/17,Win,Away
10/15/17,Loss,Home
10/22/17,Loss,Away
10/26/17,Win,Home
10/29/17,Bye,Bye
11/5/17,Loss,Away
11/12/17,Bye,Bye
11/19/17,Win,Away
11/27/17,Win,Home
12/3/17,Win,Home
12/10/17,Loss,Away
12/17/17,Win,Away
12/23/17,Win,Home
12/31/17,Loss,Home
